text,category,emotion
Thalaiva fan from Singapore like here,Positive,sadness
I am waiting vera level trailer i ever seen,Positive,anger
Enada thalaivan VJS oru thadava tha kaatirukinga  Avara paaka thanada mukka vaasi per padathuku povo,Positive,surprise
Epa than Thalaivar ku age agumoo.... Paa Sema cute,Positive,joy
Rajini sir pakathak chinna payya Mari iruk,Positive,love
"Full 100% rajnisim, total Marana mass",Positive,surprise
semaya iruku kabaliku iruntha mass iruntha vera level ah irukum views and likes eppo arasiyal varenu sonnaro Mass kammiaiduchi,Negative,neutral
tralier la Ulla dialogue vera lvl,Positive,disgust
Ippa enna panna porom... sweet sapada porom....,Positive,sadness
Indha pongalukku Ennapannaporom? kaali kuda  sweet  sapdaporom,Positive,anger
Thalaivar vere level..trailer eh  ipdina movie confirm marana mass,Positive,surprise
1:03 style ahh  Solurathu kuda style than Thaliva,Positive,joy
Idhu thai pongal illa... pettayila nadakkum pongal.... indha pongalukku rajini kuda sweet sapuda poram...,Positive,love
Rajini Mass Vijay sethupathi fans like poduga,Positive,surprise
Yarukala intha trailer pudichiruko enuku oru like podunga pa....sema trailer,Positive,neutral
one &only superstar rajani,Positive,disgust
Semmma style... rajini sir is back...,Positive,sadness
Yellarum avaroda stylea pattimattum sonenga  But 69 vayasulum avaru evalavu slim-a. Erukaru athapatthi sollalaue,Mixed_feelings,anger
Entha pundamavanuvo intha maathiri trailer ku dislike panranuvonu therla payangara vayiru erichala nu nenaiken 🤣🤣🤔🤔,Negative,surprise
Ayyyo... pongal yapo da varum nu iruke,Positive,joy
Thalaivaaaaa...dheivameeee...indha maari ungala paaka ethana varusham dhavam irundhom,Positive,love
sathiyaaa maa solraen  padamm veraa level aa irukum by vj fan,Mixed_feelings,surprise
thalaiva aaaaaa aaaa kaali attam super,Positive,neutral
Kola gandu la irrikun padam paka.,Positive,disgust
Marana mAss.! kola gaandula irukan.. Maran waiting.!,Positive,sadness
I am not a rajini fan but this is OMG  Pettaparaaaakkk,Positive,anger
Ippo Yana pana poram? Sweet sapada poram love you thalavaaaaaaaaaa,Positive,surprise
Thalaivaaaaaaaa.. pakka mass. Invincible style samrat,Positive,joy
Thalaivaa neenga greatu poonga Pongalukku paakka Thane pora,Positive,love
Yarukuda vayasayiduchi theaterla parungadaa vayasaa ahahahah petta daa,Mixed_feelings,surprise
pakka blockbuster pongal treat Rajni sir mass,Positive,neutral
style la irukkena?? .... naturally!!!  Vera level thalaiva,Positive,disgust
"what a trailer, thalaivaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.  looking more handsome and awsome............................................................Gudos to the creators....",Positive,sadness
Hindi dubbed main kab aayega trailer,Positive,anger
Rajinikanth  sir  semma looking  ah,Positive,surprise
Superrrbbbb bayya pakka black buster movie,Positive,joy
Mass ah iruku but naa sethu fan.. sethupathi enka da kelaverila iruke,Positive,love
Age is just an number idhu thalaivar ku mattume porundhum Maranam massu maranam,Positive,surprise
Sirappana tharamana sampavangala inimae than pakka pora,Positive,neutral
Vijay sethupathi fans hit like here,Positive,disgust
That madurai backdrop rajini looks like Sudhakar (Parithabangal),Positive,sadness
Thalaivaaaa...vera level thalaivaa ...mass styles semma semma .. waiting for movie thalaivaa,Positive,anger
Any  Makkal Selvan Vijay Sethuapthi fans🤘🤘🤘,Positive,surprise
Masss kae Innom masss eatthi vitrukkaan Anirudh... Marana maasss trailer... Enna style yaa... Pakka masssssss,Positive,joy
Rajini Rajini tha style style tha......,Positive,love
11 maniku thaanda release panrea nu sonneinga,Positive,surprise
Last one like sivaji...,Positive,neutral
Ohhhhhhhhh my goddddddddddd!!!! Thalaivaaaaaaaaaaaaaaaaaaaa WHAT A FIRE ON YOU,Positive,disgust
Typical Rajini sir style is Back. Mass marana waiting. Petta Paraak. Ini intha pongal sweet namaku than,Positive,sadness
Super semma mass from vijay fan,Positive,anger
Konjam othugi iruu illa paathungi iruu varathu Thalaivaruu...Petta Paaraaakkkkk ......,Positive,surprise
After Padaiyappa....Thalaivar backkkkkkkkk as Thalaivar in PETTA... Love u thalaivaaa.. Sakkara Pongalthaaaa,Positive,joy
Semma ji semma ji...solla vaarthe illathalaivaa ur great,Positive,love
Adaadadadaaa Ennaamaaa iruku daa trailer Ayyo thalaivaaa thalaivaaa..... mudiyala pongadaa dai pongadaa..... I love you thalaivaaa ummaaaa,Positive,surprise
Last  dance  vera  lvl,Positive,neutral
Thalaivaaaaaaaa.. pakka mass. Invincible style samrat,Positive,disgust
Enna ga neenga ipadi pani vachu tinking  MARANA MASSSSS RAJNI MANIA STARTS ......,Positive,sadness
Petta parraaaaakk like for petta - comment for viswasam,Positive,anger
Semma finally meesai ya murukkikittu Madurai getup semma thoranai thalaiva waiting,Positive,surprise
1:55  Koola gandla eruke superrrrr,Positive,joy
Paaka dhana pora indha Kaali ooda aatatha,Positive,love
Petta trailer Sema Marana Mass waiting,Positive,surprise
Thalaivaaaaaaaa.. pakka mass. Invincible style samrat,Positive,neutral
Ipo purinjirukum YERU SUPER STAR NU,Positive,disgust
Kolaveri la yerukan yenda Padata paka ma vida mattan confirm blockbuster.,Positive,sadness
Trailer bangam youv shankar yepaya ni ippadi oru padam rajini vechi yeduka pora yepapar robo gobo ni poya,Positive,anger
Over over scene da ebbaa  mudiyala,Positive,surprise
90s kids hit like inga,Positive,joy
"Who r waiting trailer in kannada any kannadiga hit like.......jai karnataka,tamil nadu",Positive,love
Sirapana tharamana Sabavathey inimey thane pakkaporinga wow petta parak,Positive,surprise
all rajini fans must give hit like.,Positive,neutral
Marana katu katuvom Da....style ah .... super star..one and only,Positive,disgust
Evaraku vyasuu eraadu. Awesome in every frame,Positive,sadness
Is peta realising in Kannada language,Positive,anger
Adingo...  Maranam.. Maasu maranam...  Odu annanaaanda...  Tha vediya podu....,Positive,surprise
Vikram Vedha 2 Rajini vs Sethupathi,Positive,joy
Plz relise Telugu also  #thelugu thala fans like here,Positive,love
Pullarikuthu...teaser ipdina film epdi irukum appa .,Positive,surprise
Antha alauku illa.... padam varatum tamil rackers la pathutu soluren....,Negative,neutral
Kunjay anilu ammai pathy vida semma boring vick keluthu grandpa.. Vayusu 48 keluthu vick grandpa kunjay kothi- miraj fairoon,not-Tamil,disgust
Guys Dailyu Atleast 10 times aavathu paarunga please views romba kamiyya irukku,Negative,sadness
She is looking some similar to vidya balan,Positive,anger
821k likes  74k comments  13.25million  Views super,Positive,surprise
Yenda thala enga thala ya vada dislike panni irukkenga,Mixed_feelings,joy
R U Verjin...?  Semma Mass Question,Positive,love
"74 K comments , 820 K likes.....",Positive,surprise
Ye movie hindi me kb aayegi,not-Tamil,neutral
He is vera level lu bro,Positive,disgust
"Daily umm teaser pakama thungathavanga like pannuga,,",Positive,sadness
from 1:33 to 1:50 semma massssssss,Positive,anger
Trailer ku 820k likes varuthu but agalaathey songku een likes varamaduthu?,Negative,surprise
Super ajit Sir from all kannadigas,Positive,joy
Innum neraiya neraiya neraiya neraiya neraiya neraiya neraiya cmt and views,Positive,love
Thalaaaaaaa waitting to see u on screeeeeeeennnnnnnnn,Positive,surprise
Endha trailer Ajith ah close parunga kanna avlo sharp ah paparu and kanna simitta kuda mataru yarula note paninga,Mixed_feelings,neutral
Pink movie trailer 2 years 13million. But neerkonde paarvai 1months 13million,Mixed_feelings,disgust
Full mass on August 8 vange therikevidalam,Positive,sadness
Bigil first song 600k like Nkp treaser 800k like than hehehe,Positive,anger
Frist day Frist show  Thala dharisanam  Thala + U1 veriyan Nadish,Positive,surprise
telugu pawan kalyan tamil thala malayalam nivin,unknown_state,joy
Agalathey paatu kku aprum vanthavanga like aa pottu viduunga nu comment panna vanthavanga oru like a podunga,Positive,love
Pink padam paathuthaen hd print irruku yaaruku veanum,Positive,surprise
1million like varala all thala fans like podunga,Positive,neutral
Bgm Vera level..... waiting to see in big screens,Positive,disgust
Enna daa 1million likes inum varelaa kude but nice trailer,Positive,sadness
Thala sema soldravaingala oru like podunga,Positive,anger
Nt interested juz to point out da fact so u juz enjoy,Mixed_feelings,surprise
Always Thala  Agalatheey pathutu Trailor pakuravanga like panunga,Positive,joy
Agalathe song pathutu udane Inka than varan ...yarlam Enna Mari vanthinka,Mixed_feelings,love
ParAvala semma mokkayatha iruku irunthalum pappom yenna pannida poranga,Negative,surprise
24-07-2019 - 11:38 pm anybody here?,Mixed_feelings,neutral
Viswasam record ah Nerkonda paarvai break pannum,Positive,disgust
Padam theatre la semma MASS Kaattum  Semmaya kalla kattum,Positive,sadness
Innaikku night ey 13 million views ah kannala parkanumnu solravanga like podunga,Positive,anger
14 Days go to nkp movie,Positive,surprise
2k likes for 700k  Share max,Positive,joy
2k likes for 700k  Share max,Positive,love
2k likes for 700k  Share max,Positive,surprise
Friends remake solli evlo pesuninga antha vali ippa varum da,Mixed_feelings,neutral
Yarlam ipo vara pakkura hit,Positive,disgust
1millon  like kaga wait pandra,Positive,sadness
Thee mugam than  song semmaiya iruku soluravanga ellam oru like podunga  pa,Positive,anger
Ipdi neraya neraya neraya neraya neraya....,Positive,surprise
August 8 marana waiting thala,Positive,joy
very differen look waiting for movie,Positive,love
Nee vaa thala namma therikka viduvoom,Positive,surprise
Haters tommorow evening Sambavam irukku Kaathirunga,Positive,neutral
thee mugam song ketutu yaru ellam trailer pakka vanthinka ...,Positive,disgust
I like ajith sir but i hate advocate,Mixed_feelings,sadness
My Ajith anna love u na,Positive,anger
Pink movie vs nerkonda paarvai movie???,Mixed_feelings,surprise
13 Million views soon...,Positive,joy
Thee Mugam than pakka music yuvan pinnittaru sema mass irukku,Positive,love
Pink la fight lam varaliyae.. aana idhala fight at 1:35,Positive,surprise
Bgm is like kaala poraduvom song,Positive,neutral
Release kulla 15 million views varanum bro,Positive,disgust
13 million views eppa varum inum 2/3 days aaguma,Mixed_feelings,sadness
Net kinda paarvai theme music semaya irukku,Positive,anger
July 23 sigapene songa varutha Athukku ippave update vitrukanuga avolo Bayam views likes vaeathunu,Mixed_feelings,surprise
Theme pathuttu  vanthavanga like ah thattunga,Positive,joy
Theme pathutu thaan again paaka vanthan thala ya,Positive,love
Theme parthutu again trailer parka varavanga mattum like pannunga,Positive,surprise
Thala.. Intha world ku 1 k likes varuma?,Positive,neutral
Thala + Yuvan = semma super,Positive,disgust
Thala voice ketgavea thirupa thitupa paakura,Positive,sadness
Tharamaama sambavam irukku 6 clock ku   Kaathiruppom,Positive,anger
intha padam Block buster agumnu solldravanga oru like it,Positive,surprise
Thala maranam mass waiting from Karnataka  thala fans,Positive,joy
Thala vandha mass aana indhamaari vaara level thala nale tharu maru🤘🤘🤘🤘🤘,Positive,love
Dai yeppa samii...vivegam la vachaaa madri twist vachiradingaa da......thalaaa ooir rasigan da ...,Positive,surprise
This is remake of pink hindi flim .... bigg boss abirami ka badhila tapsee ya vey potrkalam,Positive,neutral
Tharama sambavam only at Aug 8,Positive,disgust
Galata channel la aadvik interview ku apram pakravanga hit like,Positive,sadness
"Kilavanukku Verum guest role. Lots of court dialogue scenes, ivanukku tamil tadumarrum. Distributors mulichu kitta seri",Negative,anger
i love ajith from andhra pradesh,Positive,surprise
official Remake padathuke 812k likes na appe mass padathuke solleve vena confirm 1m+ likes varum,Positive,joy
Veraaaaaa level allways thala gethu thaaaa..... Cmts eh 74k,Positive,love
Nerkonda paarvai world wide release August 8 get ready thala bloods,Positive,surprise
Mass mass mass pakkaa mass thala mass,Positive,neutral
U1 u r not a human being,Negative,disgust
Yepppaaaaaaaaaaaa yepppaaaaaaaaaaaa a aaa Enna massuuu enaaa maaassssu thala eppavume masss da block buster film conform,Positive,sadness
Dis is hindi movie pink remake,Mixed_feelings,anger
Aug 8 ku wait panravanga mattum like pannunga,Positive,surprise
August 8 Tamil naaduke  bikil  adikapothu,Positive,joy
August 8 ku..yarlam wait panranga... Nama thala ya paka,Positive,love
Amais padam vangurathuku all illai   adu tariuma,Mixed_feelings,surprise
thala ya remake la act panna vachi mass kondu tee kalada.,Positive,neutral
VA thala semma mass thala ne,Positive,disgust
#Thlaa60 Teaser ku Tharamaama Sambavam irukku Haters records paathu Kathari Saava poringa,Positive,sadness
1 like for alltime superstar “thala ajith,Positive,anger
Aduthavanga Valarchiyum Vetriyum Ungalanala Thangaa Mudilana Kathariye Saavungadaa,Negative,surprise
August 8 aamaiyans aluga poranga  🤣,Negative,joy
Pangaligala Vidama trailer paarunga free time la release kula 15M views 1 M likes varanum,Positive,love
Intha vaati banner 250 feet varnum,Positive,surprise
August 8   Adv H@ppy   #thala deepavali      Pangaligalaa,Positive,neutral
#naerkondapaarvai   August 8 worldwide release       #THALA        THARISANAM.,Positive,disgust
Kannada d boss fans Hit like......,Positive,sadness
yen thalaivan ayaz irukkana superu   nallathaan irukkum pola pa,Positive,anger
Anna sk neenga yerkanave hero thaan,Positive,surprise
Siva va Rombha scene ah illama iruntha nalla irukkum,Positive,joy
Trailer la nala iruku.. Ana sivaku match agala,Positive,love
Vera level la padam irukum nu solravanga like podunga!!!,Mixed_feelings,surprise
Dho vandhuduchula aduttha mugamoodi..   lol,Positive,neutral
Yenda ippadi comments la like picha kekkuringa,Negative,disgust
Super man and Batman movie Mari iruku,Positive,sadness
Final sk still real super hero mari iruku...  mass...,Mixed_feelings,anger
Rissing Star SK eppavum Trending Star,Positive,surprise
Feels like inspired from #BhaveshJoshi movie,Positive,joy
Yuvan shankar Raja anna fan's like here...,Positive,love
Ivana epdi pathalum comedyathan irukku.. Enamo ponga da,Mixed_feelings,surprise
...... Vera... Leval Any Sk fans here....,Positive,neutral
Mokka padam Thampy ninka thirumpa Vijay tv kke poka vendiyathu than,Negative,disgust
"dai ayaz ,kutty munju anada edhaelam solavae ella.",Mixed_feelings,sadness
EAGERLY WAITING FOR YUVAN'S MAGICAL MUSIC,Positive,anger
Eppudi pathalum Padam mokaya than irukum,Positive,surprise
Suyama yosikkiravan super hero va appuram yenda krish kick 2 velayutuam ithalam kalanthu adicha maathiri irukku,Positive,joy
Ena da pani vachuriknga sathyama Siva ku edhala suit agathu da.. Arjun sir always rocks..,Positive,love
Ena PA padam nalla irukum polaye,Positive,surprise
This concept looks like arjun suravaram movie in telugu,Mixed_feelings,neutral
Senior hero movieku venum..but title la sk name dhan first varumam ... #Thalapathy ku mattum dhaan andha manasu Varum.. #Jilla,Positive,disgust
Robo Shankar fans like ah thattunga...,Positive,sadness
Hey Therikaaa Epha Evalo naal aachu Intha words ah kettu,Positive,anger
SK Anna fans hit like button therikka vidanum,Positive,surprise
Yenga anna yeppov super hero dhan,Positive,joy
Crime movie kagave pakanum da...un munji pakavarala,Mixed_feelings,love
Deii namma sathyaraj soldra mari!!! Avan avan own style la pannunga da!!! Evolo pathachii idhu mari mudiyala,Positive,surprise
I mena mukamudi padam mathiri iruku,Positive,neutral
Enimea action King Arjun Herova parkkamudiyathu,Positive,disgust
Yaarla ungala comediyan nu kalaichangalo ...avanga la enga olinchirukanganu therla..ippo...ne vaa thalaiva...#sk 🤩🤩,Positive,sadness
Power rangers fans hit like ..90$ kids,Positive,anger
Dai siva nee enna bat man aaa,Positive,surprise
Dei mutaa pasangala batman moviea copy panreengala?,Positive,joy
Action king Arjun sir's trade mark dialogue "thaerikke",Positive,love
Padam hit adicha ok by I miss you nadipin nayagan annan Surya fan,Positive,surprise
"Asuran climax la dhanush soldra dialogue ah ,Arjun modify panni sonna maadri yennaku mattum dha thonnuda",Negative,neutral
Hero kya naam hai movie ka..,Positive,disgust
Dr. BR. Ambedkar dialogue. Jai bheem,Mixed_feelings,sadness
Adei.. stop begging for likes... Idiots..,Negative,anger
Batman + Superman + konjam thirutu story,Positive,surprise
Idhu "hero" illa "mugamoodi".... Yaara yematha paakringa,Positive,joy
Interesting... #SK'ku kandippa oru come back'ah irukalam,Mixed_feelings,love
Bruce Wayne : Enna simran idhellaam,Positive,surprise
Apa idhulla sk van yarum illayada,Positive,neutral
Sema sk anna and arjun sir,Positive,disgust
Siva anna super BEST OF LUCK,Positive,sadness
Ennaku therinju intha padam vuthikum avolo nala movie moga mudiye odala,Mixed_feelings,anger
Statue odaikalam but b.r. kolkai alika mudiyathu,Positive,surprise
SK fans ah vida Arjun Fans than adhigama irukainga daw,Mixed_feelings,joy
Arjun sir kaaka padam ethir pakkalam.,Positive,love
December 20....naan starwars pooren.... Hero vum,Positive,surprise
"Bat man kita concept ,krish kita irundhu mask , mugamoodi kita irundhu screenplay = hero 🤣🤣🤣",Negative,neutral
Ithupole trailerum kand poyatha SAAHO Kanan  sadhikkaruth setta cash kalayan illathond,not-Tamil,disgust
Arjun sir like? Sk comments? Game start now,Positive,sadness
Sinthanai &silai udaippu. Ltte  leader piraba Karan ah bro,Positive,anger
First poster pathutu nalla erukathunu nenachaen but trailer nalla eruku... action king plus,Mixed_feelings,surprise
A  YUVAN SHANKAR RAJA MUSICAL,Positive,joy
Evan la comments section ku like podradhuke varingalo like uh thathi vidu,Mixed_feelings,love
Chutti tv paatha maathire iruku,Positive,surprise
Anna Vera level na neenga....movie hit aaguma,Positive,neutral
JEYAM RAVI ya hero va potrundha nalla irukum nu nenaikiravanga....like pannunga...,Mixed_feelings,disgust
Omg .. use head phones Enna bgm da saami ..,Positive,sadness
Yarda Krish 4 tamil le pandrathu,Positive,anger
"Story ku sema expectation irukku ! Ana last la en da Blade, krish, the dark knight moonuthaiyum bit adichirukkeenga.",Positive,surprise
U1 annanukkuga mattum vanthavanga like pannunga..,Positive,joy
Action kingg arujn.   I love you thallaiva.   Talapathi.  Kuda Eppa act. Pannuveengal,Positive,love
Lite ah dark Knight vaada varudhu??,Positive,surprise
Usha fan like here Orient fan like here,Positive,neutral
Idhu ennada irumbu thirai part 2 ba illey idhu hero ...,Positive,disgust
Arjun sir kaage poi padam pakelam,Positive,sadness
Suyama sinthika therinja vantha unmaiyana super hero,Positive,anger
"Sivakarthikeyanuku sunni irukka illaya, irutha like pannugaillana comments pls",Negative,surprise
Nalla thanda irutha eduku da intha sambavam,Negative,joy
Sari than da daiiii  Appudiyooo padam nalla irrutha sari,Positive,love
"Ithukey tension aana epdi, nee paka vendiyathu inum neriya iruku chellam",Positive,surprise
intha mokka hero ku.  action king ah..... ayyo  enna kodumai sir........... hero nu title vere,Negative,neutral
Paravala na joker avea irunthutuu poren,Positive,disgust
Intha fan na neenga like podunga   Antha fan na neenga like podunga...nu solravangala nerupula podanumnu solravanga like pannunga,Positive,sadness
MY FANS LIKE HERE Nammale sollika vendiyathu tha...,Positive,anger
H Raja reference kandupudichavangalam like pannunga,Positive,surprise
Edhula Krish laye pathachi but sk kaga paakalam,Positive,joy
Christopher Bale ni lan en da innum uyiroda iruka,unknown_state,love
Ennaku ennavo kanithan kathai ya konjam modify pannuna maathiri irruku,Mixed_feelings,surprise
Mugamoodi maari aagama irundha sari Irumbuthirai maari blockbuster aaga podha pappom Dec 20,Positive,neutral
Intha maari comments ku like kekuravangala india va vittu veliya annupanum,Positive,disgust
Sk anna fans hit like,Positive,sadness
Trailer paathu sirichavanga matum like podunga,Negative,anger
Padam paakanum nu Oru interesting scene kuda ila,Positive,surprise
Villain BGM - Man of Steel (Superman) du ache.. edu Siva ku irunda nala irukum,Positive,joy
Vera level #sk  Master!  power pack performance,Mixed_feelings,love
Ennada ithu sivakarthikeyan aa vida arjun fans neraya per irukangalo,Positive,surprise
Likes kodutha kaasu yedavdu Varuma ?   Yellarum likes kekuringala adaan keten...,Positive,neutral
Did anyone noticed ayas and kutty munji,Positive,disgust
sivakarthikeyan & yuvan shankar raja       \r Fans Hit like,Positive,sadness
Aprom en Dhoom 2 copy adikareenga saaar!?!,Positive,anger
Sivakarthikeyan fans ayittulla malayalikal like here,Positive,surprise
Sk anna nenga vera level aduthu aduthu munari poitairukinge anna always love u anna,Positive,joy
Vanga da thailavar kola gandla irukar.,Positive,love
SUPER STAR BACK IN ACTION ..,Positive,surprise
Last trailer dance super....I love you Thalaiva...,Positive,neutral
2:10 felt like enakku enna solradhune theriyala. ... Oru coffee sollunga .... adei,Positive,disgust
Petta pera  ketta  Chuma athruthula,Positive,sadness
Petta teaser.. Marana mass..Petta trailer.. Petta paraak,Positive,anger
Trisha look so beautiful 96 ku aparam ithum semmaya iruka pothu...,Positive,surprise
Thaliva vjs epoma mass vilan netha pa say like it,Positive,joy
Thalaivar marana mass I am waiting petta,Positive,love
Any rajuni fan from andrha like here,Positive,surprise
Vijay sethupathye kanan vannavar ivde like adii,Positive,neutral
Last la vara Black Dress.. pa chancey illa,Positive,disgust
Adutha swaaaga ready 10days kuuda ooda kuudathu..........,Positive,sadness
If you are bad then...... I am ur dad,Positive,anger
Semma Gethu Thalaiva...intha Pongal Peta Pongal....,Positive,surprise
En aayul mudiyum varai naa unga fan mattum than thalaivaaaa i love you thalaivaaaaa enakku 22age than,Positive,joy
"Great colorful, picture, video and superstar treat .....",Positive,love
Thalaiva ungala screen pakkum pothey ippadiiii erukinga na  Nerla partha yappidiiii erupinga Oru murai tharisanam kedaikumaaaa,Positive,surprise
Tha... dislike pannavanlam vayiru erinji saavungada....,Positive,neutral
Ippa enna panna porom sweet sapda porom..,Positive,disgust
Rajni Mass. Pakkathana poringa Kali oda aathatha. Sema Dialogue. Old Rajni is back,Positive,sadness
"Rajini super ,simran cute ,vj mass",Positive,anger
Sema thalaiva epudi pakanum nu romba naal asai mass thalaiva,Positive,surprise
No varthuda Mass thalayda visvasam Peta out,Positive,joy
Sasi kumar Mass thalaivaa,Positive,love
Konjam odhungiru odi pathungiru varathu thalaivaru Petta paraak super  in Petta trailer marana mass Pongal paraak,Positive,surprise
Eppo enna panna porome ... Haha..!!! Sweet sapda porome .. !!!,Positive,neutral
Semaya irukku trailer padam eppudi irukkum waiting,Positive,disgust
Nanbargale.. petta vum viswasam compare panna theenga.. ajith mm nalla manushan.. rajiyum nalla manushan.. rendu perum jaikkattum..summa unarchiya kilapatheenga,Positive,sadness
2:15 sweet sapda porom ....tat smile marana mass,Positive,anger
Iyaiyo  ithu  nalla irukke....,Positive,surprise
Superb look rajini sir and very stylish,Positive,joy
Rajinikula expiry date mudinju over expiry akiruju,Mixed_feelings,love
"Paaaaaaaaaaaaaaaaaaaa, Feel like crying after seeking our thalivar, Meratitinga thalivaaaaaaaaaaaaa.......",Positive,surprise
Maranama iereke....massa iereke... Petta parak... 🤙🤙,Positive,neutral
Talaivar die hard fan from Karnataka,Positive,disgust
Marana masssssssssssssss eanga thalaivar yaru vayasu ayeduchu mavena parunga enga marana masssssssssssssss eanga thalaivar,Positive,sadness
Katha than mukkiyam ana trailer semma,Positive,anger
Main Hoon Na Hindi movie dub..,not-Tamil,surprise
Vayasuku thagundha savagasame illa ivaruku......just fun.......thalaivar massssss.......,Mixed_feelings,joy
When 2:30 comes.. I felt like sivakarthikeyan.. (mass ka bap rajani sir),Positive,love
Hit like for nawaz n rajinikanth sit,Positive,surprise
Supper  katta waiting thalaivar pongal  petta paraakk,Positive,neutral
wait pannuga bass innu scene mudila,Positive,disgust
Irukku pongaluku tharamana sambavam iruku  Nee vaa thalaiva theater la marana mass pandro,Positive,sadness
Rajini sir fans mattum like podunga pa,Positive,anger
Pongal _ viswasam_ like petta comment,Positive,surprise
Adakam panna marandhu poitanganunu nenaikiren rajiniya,Negative,joy
"Pakurathuku chinna payan madiri style ha irukinga,, Thalaivar mass",Positive,love
pakathana porra pongaluku engaloda aatatha 10th JANUARY 2K19,Positive,surprise
pongal rece la yaru win pannuva? like petta comment viswasam,Positive,neutral
wwwwwwwooooooowwwwwwwwww no chaaaaaaaaance.....thalaivarmaaaaa chummaaaaa styllllllluuuuuu adhirdhummmmaaaaaa,Positive,disgust
Thalaivaaaaaa I am waiting for petta,Positive,sadness
Hero ellarayum adichu pottutu win panniduvaru. Ellam veetuku ponga.   Thu. Ithellam oru padam.,Positive,anger
"Petta padathukku wait pannravanga like pannuga, VISVASAM waiters comment pannuga......please",Positive,surprise
Indian super star RAJANI fans like here,Positive,joy
Agnyaathavasi bgm enduku ra deentlo dinchavu???,not-Tamil,love
vere level Thalaivaa... Karthik Subbaraj Sir vere maari irukk unga characterization,Positive,surprise
Konjam othingiru.. odi pathingiru.. varrathu Thalaivaru.. Petta Parak...,Positive,neutral
Thalaivar padam idhuku mela enna venum,Positive,disgust
Ungalukkey nyayama illaya sir... Goosebumps for full trailer,Positive,sadness
Pangu pangu Thalaivar Vaararu Side ku Odhungu  Petta daaaaa,Positive,anger
Siripaana tharamana sambavatha inemey tha pakapora,Positive,surprise
"Thaliva semma ,,,dialogue vera leavel",Positive,joy
Thalaiva........ marana mass katra thalaiva @rajinikanth,Positive,love
"vera vera vera level... kaali oda full tharishanathukaga waiting,..",Positive,surprise
"Thaliva semma ,,,dialogue vera leavel",Positive,neutral
the last dance in vetti satte super!,Positive,disgust
Yaaruku free tickets vanum more details iku channel Ila eruku,Positive,sadness
Unlike panne podi paiyalugale seturunge.. thalaivar the mass,Positive,anger
This is Thalivar padam .....marana mass u u u u u u u ........,Positive,surprise
Petta vs visvasam who wins  Petta means comment Visvasam means like,Positive,joy
Nanum rajini rajigantha enakku vayasu 27tha .evaru namakellam ethathu nallathu panduvara vote podalama vendamanu therila,Positive,love
Sirappana Tharamaana Padam   Director Karthiksubraj padam  Kola waiting'la irukavanga mattum,Positive,surprise
Vjs entry 1:37 Vera level uh,Positive,neutral
Samaj nahi aaya par maja aaaya,not-Tamil,disgust
Maranaaaaa mmmmmaaaaaaaassssss thalewa I love you,Positive,sadness
Thalaiva oru 10 varusam munadi patha mari iruka,Positive,anger
Petta trailer la hostel warden nu sonnadhum Vadivelu gyabagam vandhavalam kai thukongo. Vadivelu for life,Positive,surprise
Sema super IAM waiting,Positive,joy
"Ama athu enna last la loose motion pora Maari nadanthu varathu..,",Negative,love
Trailer sumaar nd long..ana rajini so like poduren...po. .,Positive,surprise
Super Super    dhool  dhool Ma,Positive,neutral
Warning to another movie: sentiment irundhaa oodi poiru kola gandu la irukken kollaama vidamaaten,Positive,disgust
Marana mass thalaiva atuchi thulpannu thalaiva,Positive,sadness
"thalaivaaaaaaaa,......... suuuuuper nobody can touch ur place.......kola gandla iruken hahahahahahahhahahaha",Positive,anger
Trailer mairu madiri iruku.kandipa flop tha,Negative,surprise
"Maass , maass  pakkaaa maaaaaaasssss",Positive,joy
Ethu vanthalum final nangatha (viswasam) intha pongal Mass ah iruka pothu,Positive,love
Thalapathy record ah beat panna yarum illaiya,Positive,surprise
@ 2:08 no one can do it one rajni,Positive,neutral
Mavane kollama vita maden  Sweet saptu varen  Epdi semma,Positive,disgust
"Ennadaa Innum Like pannunga, comment pannnga nu evenum picha edukka varalaye nu nenachen... Tha vantaanuga illa.",Positive,sadness
18k dislike pple hang yourself Teaser is mind blowing 80s Rajini sir is back,Positive,anger
Theatre la pakura alavuku worth illa....suntv laye poduvan appa pathukuren,Mixed_feelings,surprise
Paaa ......look and style vera level thalaivaaaa,Positive,joy
Petta movie ku romba romba wait panuravanga like poddu gga,Positive,love
God I want pongal ASAP!!... Rajini sir !!! ... 🤤🤤🤤🤤🤩🤩🤩🤩🤩🤗🤩🤩,Positive,surprise
nangalum kola kanda la than irukom oda vidroma illayanu parru,Positive,neutral
Thalaivar look kaaga like.. Evlo young ah irukaru pa,Positive,disgust
kaidhi vera lvl trailer idhaa dewali kaidhii dhaa king,Positive,sadness
Indha Diwali peria Sambavam pannum pola Kaithi Karthi attitude,Positive,anger
"Nan mahan alle,theetan,Madras, siruthai ithukku appuram ethu enkira kelvikku badhil kaithi",Positive,surprise
Enaku ennamo sneek peak partha madiriyai Oru feelingu,Positive,joy
Yan daa like podrathu easy nu unga ishtathukku ethuku like athuku comment nu podringlaa ethellaam Oru polappu,unknown_state,love
